Codigo,Departamento,Area_plantada,Area_productiva,Produccion,Rendimiento,Año
05,Antioquia,117793.19316490939,71671.225722598,105262.70131973298,1.4686884486551144,2012
15,Boyacá,4791.0501511616585,2767.6314127847736,1323.910907654057,0.4783552107185927,2012
17,Caldas,63153.04813010174,39557.13552800089,62517.87113033444,1.5804448501100536,2012
25,Cundinamarca,18645.243629284847,11144.641830906721,9006.609394127572,0.8081560206941886,2012
41,Huila,146687.66090857956,87918.16793901766,123998.86800586277,1.4103895805912565,2012
54,Norte de Santander,17018.781411987682,10231.295450601989,7616.411956607605,0.7444230296525618,2012
63,Quindío,21521.53490067832,12108.9336973389,13769.431133056227,1.1371299469648797,2012
66,Risaralda,45922.20918052604,27842.665849094166,36185.922486661155,1.2996572484397513,2012
68,Santander,42525.4239267695,28686.60460962454,26481.45903875909,0.9231297812733958,2012
73,Tolima,75798.98051125702,42415.8043969909,31116.746702788263,0.733612085050915,2012
08,Atlántico,0.0,0.0,0.0,0.0,2012
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2012
13,Bolívar,413.83747337275094,251.76640029868452,327.3869506784524,1.3003599777017705,2012
20,Cesar,5804.378249951447,5082.436647706845,3932.012498843431,0.7736471246754297,2012
23,Córdoba,0.0,0.0,0.0,0.0,2012
44,La Guajira,4051.89312569146,4049.2406781631275,3404.1540384666887,0.8406894795917461,2012
47,Magdalena,17887.65,14836.09737604762,24953.003986510477,1.6819115805209166,2012
70,Sucre,0.0,0.0,0.0,0.0,2012
19,Cauca,62312.141094278,38534.37355252645,21288.1015662312,0.5524444697981985,2012
27,Chocó,0.0,0.0,0.0,0.0,2012
52,Nariño,31089.757857699416,16147.389805534336,12373.988591980064,0.7663150974245396,2012
76,Valle del Cauca,43139.9484831064,25099.681406333137,25149.001984068334,1.001964988197928,2012
81,Arauca,0.0,0.0,0.0,0.0,2012
85,Casanare,284.11958424686526,112.58667765744642,7.041221086214422,0.06254044646061833,2012
50,Meta,3269.2836868908034,2014.2942179935767,1143.3950238321204,0.567640523225573,2012
99,Vichada,0.0,0.0,0.0,0.0,2012
91,Amazonas,0.0,0.0,0.0,0.0,2012
18,Caquetá,0.0,0.0,0.0,0.0,2012
94,Guainía,0.0,0.0,0.0,0.0,2012
95,Guaviare,0.0,0.0,0.0,0.0,2012
86,Putumayo,0.0,0.0,0.0,0.0,2012
97,Vaupés,0.0,0.0,0.0,0.0,2012
05,Antioquia,117782.92376216846,90393.40388143003,199831.87429472042,2.2106908879860523,2013
15,Boyacá,6239.75926984367,4892.058115740229,4458.723092811033,0.9114207123715604,2013
17,Caldas,78518.8113443527,55007.637171934555,99537.67662053826,1.8095246721726737,2013
25,Cundinamarca,24181.427738628223,19028.173663473928,22254.493516981354,1.1695548879554636,2013
41,Huila,136795.96359683803,97042.12447363026,172903.64504932423,1.7817380440419788,2013
54,Norte de Santander,27458.080172225436,23228.225208460288,12635.323331744748,0.5439642167384642,2013
63,Quindío,17906.060425532876,13900.543834964177,26902.9829303049,1.935390676056541,2013
66,Risaralda,52582.495468477624,43599.84777563029,77586.84350426393,1.7795209722642735,2013
68,Santander,40883.81996619479,34598.45588306706,39524.35998544579,1.142373524385796,2013
73,Tolima,71190.52572979894,53702.7011185094,80257.09467250988,1.4944703525321956,2013
08,Atlántico,0.0,0.0,0.0,0.0,2013
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2013
13,Bolívar,496.23626089987124,443.1045898154491,601.5085218243872,1.3574865520461266,2013
20,Cesar,6253.914938441831,3625.1071441878466,3746.4397507718345,1.0334700746096626,2013
23,Córdoba,0.0,0.0,0.0,0.0,2013
44,La Guajira,2018.0349456692584,1503.0246757725877,502.8549901364873,0.3345620323086238,2013
47,Magdalena,17896.743243243243,15942.343013945945,14145.30964864865,0.8872792183855724,2013
70,Sucre,0.0,0.0,0.0,0.0,2013
19,Cauca,58407.55061255805,47086.962278551524,39764.25224562704,0.8444854015086882,2013
27,Chocó,0.0,0.0,0.0,0.0,2013
52,Nariño,31811.541433812392,21780.594480437878,30805.309526727855,1.41434658977722,2013
76,Valle del Cauca,36357.97130132536,32007.92186753995,32885.81398728834,1.027427338875089,2013
81,Arauca,0.0,0.0,0.0,0.0,2013
85,Casanare,649.7998213281272,649.7742625351551,17.32799523541673,0.026667715596813475,2013
50,Meta,1099.2314285714285,1045.9704761904761,958.7843828571428,0.9166457416170355,2013
99,Vichada,0.0,0.0,0.0,0.0,2013
91,Amazonas,0.0,0.0,0.0,0.0,2013
18,Caquetá,0.0,0.0,0.0,0.0,2013
94,Guainía,0.0,0.0,0.0,0.0,2013
95,Guaviare,0.0,0.0,0.0,0.0,2013
86,Putumayo,0.0,0.0,0.0,0.0,2013
97,Vaupés,0.0,0.0,0.0,0.0,2013
05,Antioquia,120224.16316365192,94908.53189303345,201560.67952300012,2.123736143660602,2014
15,Boyacá,4232.813418112531,3089.066361702284,2329.808012168774,0.7542110590608658,2014
17,Caldas,80146.23924212279,57755.25494914432,103893.90646694756,1.7988649960671124,2014
25,Cundinamarca,23357.8147148522,20341.899257427835,28474.11800952629,1.3997767685890483,2014
41,Huila,139631.27864616408,101889.35442296516,192895.0351330106,1.8931814439834487,2014
54,Norte de Santander,19482.51220893142,15969.634350931305,8566.980398170426,0.5364543864882432,2014
63,Quindío,21801.44199690761,16992.791878006577,27080.283863919387,1.5936335864248916,2014
66,Risaralda,48723.83941008331,41411.83240942571,70366.80851468658,1.6991957230723855,2014
68,Santander,45698.71543506421,32551.503861420922,34305.224150697446,1.053875246340153,2014
73,Tolima,80980.12421999508,64018.98909831026,73723.08188546597,1.151581474869178,2014
08,Atlántico,0.0,0.0,0.0,0.0,2014
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2014
13,Bolívar,519.914500256409,440.7476077337399,159.73096462896223,0.3624091471540267,2014
20,Cesar,6150.164582798185,5360.973205219523,4200.771710796986,0.7835837915972145,2014
23,Córdoba,0.0,0.0,0.0,0.0,2014
44,La Guajira,1981.3079165645777,1981.300495682581,1534.8989409723,0.7746926548077755,2014
47,Magdalena,21532.371459694994,20569.933172657955,20929.766427015256,1.0174931659396735,2014
70,Sucre,0.0,0.0,0.0,0.0,2014
19,Cauca,73328.89871099572,58089.08758220713,70345.48682565235,1.2109931443853388,2014
27,Chocó,0.0,0.0,0.0,0.0,2014
52,Nariño,28655.82559697902,24152.0794252379,38113.80126764699,1.5780753531234126,2014
76,Valle del Cauca,40127.828379812556,31577.475253936973,33598.74909562024,1.0640099889376449,2014
81,Arauca,0.0,0.0,0.0,0.0,2014
85,Casanare,811.2215419425678,811.2214239425678,969.9458503310813,1.1956610386558908,2014
50,Meta,357.7713432835821,339.7596432835821,262.97829850746274,0.7740127578600222,2014
99,Vichada,0.0,0.0,0.0,0.0,2014
91,Amazonas,0.0,0.0,0.0,0.0,2014
18,Caquetá,0.0,0.0,0.0,0.0,2014
94,Guainía,0.0,0.0,0.0,0.0,2014
95,Guaviare,0.0,0.0,0.0,0.0,2014
86,Putumayo,0.0,0.0,0.0,0.0,2014
97,Vaupés,0.0,0.0,0.0,0.0,2014
05,Antioquia,129080.48575358752,101899.97648173674,207896.50064073663,2.0402016547864203,2015
15,Boyacá,5255.62331998754,4738.647561425294,3056.901582692383,0.6451000086136234,2015
17,Caldas,86804.31137813127,62553.21749013477,105878.1111695024,1.6926085566453937,2015
25,Cundinamarca,21109.10040132172,17742.18138659116,11059.104880771034,0.6233227267718648,2015
41,Huila,143107.99170970145,104426.32216394949,209335.59976956053,2.0046248439249186,2015
54,Norte de Santander,17736.58145151515,15707.794189056274,7717.395554621209,0.49130994853484716,2015
63,Quindío,21627.83997099097,16967.36018168049,24147.097737523785,1.423149946660247,2015
66,Risaralda,54752.98321943842,44208.03718269373,63540.92962913011,1.4373162365599153,2015
68,Santander,44517.371692545275,40106.54027428163,41225.947789136226,1.0279108471386251,2015
73,Tolima,71544.64865593196,60918.992815420206,76284.75065550665,1.252232631071947,2015
08,Atlántico,0.0,0.0,0.0,0.0,2015
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2015
13,Bolívar,619.2045521341166,499.7716891945969,139.40225246751413,0.2789318712553861,2015
20,Cesar,4272.808041810229,4207.117066504512,2838.850919054641,0.6747734551188289,2015
23,Córdoba,0.0,0.0,0.0,0.0,2015
44,La Guajira,4816.797341558127,4816.667846617047,1242.8155266304989,0.2580239215588389,2015
47,Magdalena,14390.722222222223,13880.194933333332,11204.537592592591,0.8072320054875353,2015
70,Sucre,4.64197384759984,0.0,0.0,0.0,2015
19,Cauca,70130.46194843051,58483.48655419687,71303.95851701933,1.2192152472124194,2015
27,Chocó,0.0,0.0,0.0,0.0,2015
52,Nariño,30615.643538681616,25433.65679804449,25231.520309786916,0.9920524016714289,2015
76,Valle del Cauca,46781.022018736294,40684.69899110013,38667.966908479815,0.9504302076055305,2015
81,Arauca,0.0,0.0,0.0,0.0,2015
85,Casanare,706.2660985200653,706.2327840814559,1090.8479778274066,1.544601160432096,2015
50,Meta,265.7952941176471,260.44045176470587,320.53411764705885,1.2307386025295504,2015
99,Vichada,0.0,0.0,0.0,0.0,2015
91,Amazonas,0.0,0.0,0.0,0.0,2015
18,Caquetá,0.0,0.0,0.0,0.0,2015
94,Guainía,0.0,0.0,0.0,0.0,2015
95,Guaviare,0.0,0.0,0.0,0.0,2015
86,Putumayo,0.0,0.0,0.0,0.0,2015
97,Vaupés,0.0,0.0,0.0,0.0,2015
05,Antioquia,113596.2732186784,83471.42702681763,195593.56361034806,2.3432397237860556,2016
15,Boyacá,7206.3080172477885,6329.441943374277,6343.362569706758,1.002199344974963,2016
17,Caldas,66399.54342465711,51244.9058658987,102724.75114919484,2.004584639456891,2016
25,Cundinamarca,21518.579915006805,18105.78950876511,14805.10219108731,0.8176998956008016,2016
41,Huila,120746.82414339358,99597.28066961175,99386.55948398501,0.9978842676807035,2016
54,Norte de Santander,17461.81838463204,15130.17961740909,9353.407564627707,0.6181954081936665,2016
63,Quindío,19865.091493270156,14471.278499031838,22183.992161334932,1.5329669844180722,2016
66,Risaralda,49252.47431563262,38549.292506199665,66528.32183399973,1.7257987762888343,2016
68,Santander,47505.96442791986,42526.33860490642,54202.621352968425,1.274565907414255,2016
73,Tolima,71418.93721314892,57308.19872270668,56468.36290878125,0.985345276371552,2016
08,Atlántico,0.0,0.0,0.0,0.0,2016
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2016
13,Bolívar,965.3240725761092,786.9388145594253,207.66617187312124,0.2638911285490283,2016
20,Cesar,4858.259544462198,4532.771309447973,3444.6559067218222,0.7599447824649533,2016
23,Córdoba,0.0,0.0,0.0,0.0,2016
44,La Guajira,76.11427736372937,76.09905450825663,19.028569340932343,0.2500500100020004,2016
47,Magdalena,11714.780523255817,10829.301811546513,15643.072083333333,1.4445134465320968,2016
70,Sucre,5.04743917989204,2.739418346176646,9.779712507409608,3.569995988768552,2016
19,Cauca,79583.32557814145,67290.9402150349,76273.97697092415,1.1334954858288957,2016
27,Chocó,0.0,0.0,0.0,0.0,2016
52,Nariño,29630.726177018823,22609.013350280547,29250.658550566885,1.2937609482283718,2016
76,Valle del Cauca,44910.71002271002,38676.48246965212,75638.83283986714,1.955680248306393,2016
81,Arauca,0.0,0.0,0.0,0.0,2016
85,Casanare,1280.2410904813707,1016.3178104551042,487.8410332103319,0.480008347971269,2016
50,Meta,253.02433333333335,185.56426666666667,184.63946666666666,0.9950162818703601,2016
99,Vichada,26.688982449589254,26.688982449589254,1.0141813330843916,0.038,2016
91,Amazonas,0.0,0.0,0.0,0.0,2016
18,Caquetá,2734.895400066992,2334.60973243194,1971.7798391390047,0.844586489873415,2016
94,Guainía,0.0,0.0,0.0,0.0,2016
95,Guaviare,0.0,0.0,0.0,0.0,2016
86,Putumayo,0.0,0.0,0.0,0.0,2016
97,Vaupés,0.0,0.0,0.0,0.0,2016
05,Antioquia,116156.34,88501.41,180034.58,2.03,2017
15,Boyacá,10001.4,8091.58,8913.72,1.1,2017
17,Caldas,59267.67,42685.94,96968.58,2.27,2017
25,Cundinamarca,27566.2,25048.1,33682.33,1.34,2017
41,Huila,136323.63,101685.92,155333.61,1.53,2017
54,Norte de Santander,17701.03,12842.68,20446.86,1.59,2017
63,Quindío,21220.85,14443.22,28826.99,2.0,2017
66,Risaralda,45785.97,34298.6,72964.11,2.13,2017
68,Santander,53131.54,45260.76,69515.29,1.54,2017
73,Tolima,109667.03,87872.29,140701.73,1.6,2017
08,Atlántico,13.38,0.0,0.0,0.0,2017
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2017
13,Bolívar,0.0,0.0,0.0,0.0,2017
20,Cesar,10797.89,8947.31,8846.42,0.99,2017
23,Córdoba,0.0,0.0,0.0,0.0,2017
44,La Guajira,2265.75,2233.75,4235.37,1.9,2017
47,Magdalena,22874.65,21796.56,36615.73,1.68,2017
70,Sucre,0.0,0.0,0.0,0.0,2017
19,Cauca,92360.15,77713.9,95304.1,1.23,2017
27,Chocó,936.53,899.07,1460.98,1.63,2017
52,Nariño,43614.49,31735.52,55284.75,1.74,2017
76,Valle del Cauca,42971.35,39031.75,51486.82,1.32,2017
81,Arauca,209.9,0.0,0.0,0.0,2017
85,Casanare,922.78,654.65,1314.36,2.01,2017
50,Meta,728.04,639.49,285.71,0.45,2017
99,Vichada,0.0,0.0,0.0,0.0,2017
91,Amazonas,0.0,0.0,0.0,0.0,2017
18,Caquetá,237.69,228.13,174.16,0.76,2017
94,Guainía,0.0,0.0,0.0,0.0,2017
95,Guaviare,0.0,0.0,0.0,0.0,2017
86,Putumayo,54.0,54.0,0.0,0.0,2017
97,Vaupés,0.0,0.0,0.0,0.0,2017
05,Antioquia,116370.98,93874.3,130315.41,1.388191,2018
15,Boyacá,10777.68,8966.73,8974.8,1.0009,2018
17,Caldas,63942.47,48614.98,63660.44,1.309482,2018
25,Cundinamarca,27445.91,25159.71,25734.6,1.022849,2018
41,Huila,135562.66,96171.12,152818.95,1.589032,2018
54,Norte de Santander,16144.46,11910.53,12373.18,1.038844,2018
63,Quindío,20287.55,14188.31,18253.89,1.286545,2018
66,Risaralda,45471.98,33701.94,45072.25,1.337378,2018
68,Santander,53045.62,45944.54,54056.88,1.176568,2018
73,Tolima,106891.37,80923.58,88945.7,1.099132,2018
08,Atlántico,14.177388,0.0,0.0,0.0,2018
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2018
13,Bolívar,82.915635,82.897209,0.0,0.0,2018
20,Cesar,10905.88,9743.47,11436.01,1.17371,2018
23,Córdoba,0.0,0.0,0.0,0.0,2018
44,La Guajira,2202.17,1798.97,1524.92,0.847661,2018
47,Magdalena,15350.58,13266.83,17826.75,1.343708,2018
70,Sucre,0.0,0.0,0.0,0.0,2018
19,Cauca,92945.2,63347.0,67480.07,1.065245,2018
27,Chocó,487.397504,467.901603,248.572727,0.53125,2018
52,Nariño,43270.55,37654.14,55005.52,1.460809,2018
76,Valle del Cauca,49772.61,42411.67,52446.93,1.236616,2018
81,Arauca,305.601062,0.0,0.0,0.0,2018
85,Casanare,1356.12,828.946991,710.074192,0.856598,2018
50,Meta,2029.31,1527.97,1149.84,0.752524,2018
99,Vichada,0.0,0.0,0.0,0.0,2018
91,Amazonas,0.0,0.0,0.0,0.0,2018
18,Caquetá,315.989626,246.243308,404.878423,1.644221,2018
94,Guainía,0.0,0.0,0.0,0.0,2018
95,Guaviare,13.352569,2.670514,0.133526,0.05,2018
86,Putumayo,110.651197,76.585035,60.541509,0.790514,2018
97,Vaupés,0.0,0.0,0.0,0.0,2018
05,Antioquia,120224.64,94345.04,139422.61,1.477795,2019
15,Boyacá,12312.95,11045.63,9874.01,0.893929,2019
17,Caldas,64324.17,49335.9,65637.93,1.330429,2019
25,Cundinamarca,29196.91,22915.72,20936.68,0.913638,2019
41,Huila,142744.67,98545.73,152711.61,1.549652,2019
54,Norte de Santander,16937.75,12859.45,13215.02,1.027651,2019
63,Quindío,20723.03,14592.7,19955.99,1.367532,2019
66,Risaralda,43275.3,33455.43,48209.87,1.441018,2019
68,Santander,57044.79,48621.47,52799.16,1.085923,2019
73,Tolima,104624.42,76191.12,82509.22,1.082924,2019
08,Atlántico,0.0,0.0,0.0,0.0,2019
88,Archipiélago de San Andrés,0.0,0.0,0.0,0.0,2019
13,Bolívar,73.716665,73.716665,100.254664,1.36,2019
20,Cesar,10789.16,9781.62,12446.19,1.272406,2019
23,Córdoba,0.0,0.0,0.0,0.0,2019
44,La Guajira,2143.57,1634.76,1517.73,0.928413,2019
47,Magdalena,15431.43,14582.31,18969.68,1.30087,2019
70,Sucre,0.0,0.0,0.0,0.0,2019
19,Cauca,93620.08,65373.95,69763.52,1.067145,2019
27,Chocó,769.473483,497.860828,696.936251,1.399862,2019
52,Nariño,45882.52,37770.4,66276.4,1.754718,2019
76,Valle del Cauca,53487.55,38703.78,40874.1,1.056075,2019
81,Arauca,9.478304,7.108728,5.331546,0.75,2019
85,Casanare,1240.99,781.859387,688.941149,0.881157,2019
50,Meta,2135.07,1720.89,2133.1,1.239534,2019
99,Vichada,0.0,0.0,0.0,0.0,2019
91,Amazonas,0.0,0.0,0.0,0.0,2019
18,Caquetá,586.823641,542.411218,564.737411,1.041161,2019
94,Guainía,63.126338,59.970021,13.887794,0.231579,2019
95,Guaviare,13.335331,13.335331,8.662631,0.6496,2019
86,Putumayo,2005.68,1952.16,1282.6,0.657019,2019
97,Vaupés,0.0,0.0,0.0,0.0,2019
